rank,speakerName,searchName,party,partyAbbrev,chamber,house,utteranceCount,already_in_media_list,matched_media_name,speakerId
324,Manzila Pola Uddin,Baroness Uddin,Non-affiliated,NA,Lords,Lords,1,false,,ManzilaUddin
325,Margaret Eileen Joyce Wheeler,Baroness Wheeler,Labour,LAB,Lords,Lords,1,false,,MargaretWheeler
326,Margaret Olivia Hillier,Margaret Hillier,Labour,LAB,Commons,Commons,1,false,,MargaretHillier
327,Marion Fellows,Marion Fellows,Scottish National Party,SNP,Commons,Commons,1,false,,MarionFellows
328,Mark James Harper,Mark Harper,Conservative,CONS,Commons,Commons,1,false,,MarkHarper
329,Mark Lancaster,Lord Lancaster,Conservative,CONS,Lords,Lords,1,false,,MarkLancaster
330,Mark Phillip Hendrick,Mark Hendrick,Labour,LAB,Commons,Commons,1,false,,MarkHendrick
331,Mark Schreiber,Lord Marlesford,Conservative,CONS,Lords,Lords,1,false,,MarkSchreiber
332,Martyn Day,Martyn Day,Scottish National Party,SNP,Commons,Commons,1,false,,MartynDay
333,Matthew Ridley,Lord Ridley,Conservative,CONS,Lords,Lords,1,false,,MatthewRidley
334,Matthew Toby Perkins,Matthew Perkins,Labour,LAB,Commons,Commons,1,false,,MatthewPerkins
335,Meghnad Desai,Lord Desai,Crossbench,CB,Lords,Lords,1,false,,MeghnadDesai
336,Melvyn John Stride,Melvyn Stride,Conservative,CONS,Commons,Commons,1,false,,MelvynStride
337,Merlin Hay,Lord Hay,Crossbench,CB,Lords,Lords,1,false,,MerlinHay
338,Michael Boyce,Lord Boyce,Crossbench,CB,Lords,Lords,1,false,,MichaelBoyce
339,Michael German,Lord German,Liberal Democrat,LIBDEM,Lords,Lords,1,false,,MichaelGerman
340,Michael John Storey,Lord Storey,Liberal Democrat,LIBDEM,Lords,Lords,1,false,,MichaelStorey
341,Michelle Emma May Elizabeth Donelan,Michelle Donelan,Conservative,CONS,Commons,Commons,1,true,Michelle Donelan,MichelleDonelan
342,Mohammad Yasin,Mohammad Yasin,Labour,LAB,Commons,Commons,1,false,,MohammadYasin
343,Nadine Vanessa Dorries,Nadine Dorries,Conservative,CONS,Commons,Commons,1,false,,NadineDorries
344,Narendra Babubhai Patel,Lord Patel,Crossbench,CB,Lords,Lords,1,false,,NarendraPatel
345,Nathanael Ming-Yan Wei,Lord Wei,Conservative,CONS,Lords,Lords,1,false,,NathanaelWei
346,Navnit Dholakia,Lord Dholakia,Liberal Democrat,LIBDEM,Lords,Lords,1,false,,NavnitDholakia
347,Neil John O'Brien,Neil O'Brien,Conservative,CONS,Commons,Commons,1,false,,NeilOBrien
348,Nicholas Trench,Lord Trench,Crossbench,CB,Lords,Lords,1,false,,NicholasTrench
349,Nigel Adams,Nigel Adams,Conservative,CONS,Commons,Commons,1,false,,NigelAdams
350,Nigel Dodds,Lord Dodds,Democratic Unionist Party,DUP,Lords,Lords,1,false,,NigelDodds
351,Nigel Paul Huddleston,Nigel Huddleston,Conservative,CONS,Commons,Commons,1,false,,NigelHuddleston
352,Olivia Frances Blake Dagnall,Olivia Dagnall,Labour,LAB,Commons,Commons,1,false,,OliviaBlakeDagnall
353,Olukemi Olufunto Badenoch,Olukemi Badenoch,Conservative,CONS,Commons,Commons,1,false,,OlukemiBadenoch
354,Parry Mitchell,Lord Mitchell,Labour,LAB,Lords,Lords,1,false,,ParryMitchell
355,Paul Strasburger,Lord Strasburger,Liberal Democrat,LIBDEM,Lords,Lords,1,false,,PaulStrasburger
356,Paul Stuart Scully,Paul Scully,Conservative,CONS,Commons,Commons,1,true,Paul Scully,PaulScully
357,Penelope Mary Mordaunt,Penelope Mordaunt,Conservative,CONS,Commons,Commons,1,false,,PenelopeMordaunt
358,Peter Hain,Lord Hain,Labour,LAB,Lords,Lords,1,false,,PeterHain
359,Peter James Guy Aldous,Peter Aldous,Conservative,CONS,Commons,Commons,1,false,,PeterAldous
360,Peter Snape,Lord Snape,Labour,LAB,Lords,Lords,1,false,,PeterSnape
361,Peter William Bone,Peter Bone,Conservative,CONS,Commons,Commons,1,false,,PeterBone
362,Philippa Whitford,Philippa Whitford,Scottish National Party,SNP,Commons,Commons,1,false,,PhilippaWhitford
363,Rachael Helen Maskell,Rachael Maskell,Labour,LAB,Commons,Commons,1,false,,RachaelMaskell
364,Richard Benyon,Lord Benyon,Independent,I,Lords,Lords,1,false,,RichardBenyon
365,Richard Gilbey,Lord Gilbey,Crossbench,CB,Lords,Lords,1,false,,RichardGilbey
366,Richard James Shannon,Richard Shannon,Democratic Unionist Party,DUP,Commons,Commons,1,false,,RichardShannon
